Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Afghanistan,2023-03-09,209451,7896,0,0,538.0424508714615,3.76985547932452
Albania,2023-03-09,334443,3598,0,0,11621.481687400095,1.0758185998809962
Algeria,2023-03-09,271494,6881,0,0,619.127805010248,2.5344943166331486
Andorra,2023-03-09,47890,165,0,0,61981.49226687375,0.34453956984756734
Angola,2023-03-09,105288,1933,0,0,320.35277020195906,1.835916723653218
Antarctica,2023-03-09,11,0,0,0,NA,0
Antigua and Barbuda,2023-03-09,9106,146,0,0,9298.668409443671,1.6033384581594552
Argentina,2023-03-09,10044957,130472,0,0,22225.43269916568,1.2988806223859397
Armenia,2023-03-09,447308,8727,0,0,15095.264160710898,1.9510046768669465
Australia,2023-03-09,11385534,19459,0,0,47097.982413357546,0.13389565152155206
Austria,2023-03-09,5955860,21949,0,0,66129.19701545568,0.36852780286977865
Azerbaijan,2023-03-09,828819,10138,0,0,8174.422475201385,1.2231862445238346
Bahamas,2023-03-09,37491,833,0,0,9533.678492961184,2.2218665813128484
Bahrain,2023-03-09,710306,1553,0,0,41743.8350054038,0.21863816439675296
Bangladesh,2023-03-09,2037871,29445,0,0,1237.402777809909,1.4448902801011447
Barbados,2023-03-09,106645,575,0,0,37110.56439237084,0.5391720193164237
Belarus,2023-03-09,994037,7118,0,0,10519.665910386577,0.7160699249625517
Belgium,2023-03-09,4727795,33775,0,0,41035.63292648623,4.448246251751641
Belize,2023-03-09,70757,688,0,0,17795.086275624275,0.9723419590994532
Benin,2023-03-09,27999,163,0,0,230.95391166588223,0.5821636487017393
Bhutan,2023-03-09,62627,21,0,0,8116.384918845223,0.03353186325386814
Bolivia,2023-03-09,1194187,22365,0,0,10230.309545191742,1.8728222631798872
Bosnia and Herzegovina,2023-03-09,401729,16280,0,0,12244.79283348802,4.052483141620346
Botswana,2023-03-09,329758,2801,0,0,14022.558868867272,0.8494107800265649
Brazil,2023-03-09,37076053,699276,0,0,19707.105575780664,1.7151992921048276
Brunei,2023-03-09,279661,225,0,0,63924.99822850259,0.08045455033057881
Bulgaria,2023-03-09,1297451,38225,0,0,18672.53752458284,2.9461613579241144
Burkina Faso,2023-03-09,22056,396,0,0,105.51455135409864,1.7954298150163222
Burma,2023-03-09,633949,19490,0,0,1165.1376588560508,3.074379800267845
Burundi,2023-03-09,53631,38,0,0,451.030087931146,0.07085454308142679
Cabo Verde,2023-03-09,63244,413,0,0,11375.065648898895,0.6530263740433875
Cambodia,2023-03-09,138719,3056,0,0,829.7101538126958,2.203014727614818
Cameroon,2023-03-09,124392,1965,0,0,468.5927721169671,1.5796835809376808
Canada,2023-03-09,4613041,51633,0,0,14730.434751825704,0.7642084961184181
Central African Republic,2023-03-09,15368,113,0,0,318.1936011780286,0.7352941176470589
Chad,2023-03-09,7679,194,0,0,46.74945766915448,2.526370621174632
Chile,2023-03-09,5188380,64254,0,0,32516.847734198644,1.2470072658124465
China,2023-03-09,4903524,101055,0,0,1221.3252744820625,0.5481362422779267
Colombia,2023-03-09,6359093,142339,0,0,9736.037427222702,2.559956429031635
Comoros,2023-03-09,9008,161,0,0,1035.8845209551573,1.7873001776198931
Congo (Brazzaville),2023-03-09,25087,388,0,0,454.6317821449878,1.5466177701598438
Congo (Kinshasa),2023-03-09,95749,1464,0,0,106.90877512371289,1.5289976918818995
Costa Rica,2023-03-09,1209725,9245,0,0,23747.50545433416,0.7642232738845606
Cote d'Ivoire,2023-03-09,88255,834,0,0,334.5745694136557,0.9449889524672824
Croatia,2023-03-09,1269326,17987,0,0,30919.44301809285,1.4170512539725808
Cuba,2023-03-09,1112637,8530,0,0,9823.207567026197,0.7666471634504335
Cyprus,2023-03-09,650685,1330,0,0,53893.16037208424,0.2043999784842128
Czechia,2023-03-09,4617114,42488,0,0,43114.40620593068,0.9202285237055008
Denmark,2023-03-09,3450897,8341,0,0,50261.80161596946,0.16659665399822224
Diamond Princess,2023-03-09,712,13,0,0,NA,1.8258426966292136
Djibouti,2023-03-09,15690,189,0,0,1588.0534654788148,1.2045889101338432
Dominica,2023-03-09,15760,74,0,0,21891.625342056646,0.46954314720812185
Dominican Republic,2023-03-09,660790,4384,0,0,6091.407151095733,0.6634482967357255
Ecuador,2023-03-09,1057121,36014,0,0,5991.710054831759,3.406800167625087
Egypt,2023-03-09,515759,24812,0,0,503.9937546711442,4.810774024302048
El Salvador,2023-03-09,201785,4230,0,0,3110.9890057369485,2.0962906063384295
Equatorial Guinea,2023-03-09,17229,183,0,0,1228.0245334055603,1.062162632770329
Eritrea,2023-03-09,10189,103,0,0,287.3032491575324,1.0108941014819903
Estonia,2023-03-09,615433,2946,0,0,46393.88664788596,0.4786873632060679
Eswatini,2023-03-09,74267,1425,0,0,6401.422557500491,1.9187526088303015
Ethiopia,2023-03-09,500102,7572,0,0,435.0090584772397,1.5140911254104163
